SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
2810,XRP,XRP,14/04/2021 23:59,1.96499722,1.57907721,1.79424796,1.83923574,29025829007,83508712026
2809,XRP,XRP,13/04/2021 23:59,1.88843866,1.42303428,1.47008036,1.79400136,31123574741,81454889101
2808,XRP,XRP,12/04/2021 23:59,1.47014512,1.32407719,1.35400393,1.46773497,13216559312,66641080474
2807,XRP,XRP,11/04/2021 23:59,1.49207181,1.30882764,1.3720684,1.36053004,21224874412,61773544985
2806,XRP,XRP,10/04/2021 23:59,1.38995666,1.008636,1.02028161,1.37441607,25547794935,62404026788
2805,XRP,XRP,09/04/2021 23:59,1.08315914,0.9865853,1.05341665,1.02083654,10235269531,46350091394
2804,XRP,XRP,08/04/2021 23:59,1.0725679,0.90562745,0.91905523,1.05275643,12888349509,47799382930
2803,XRP,XRP,07/04/2021 23:59,1.10448837,0.8694135,1.09754682,0.91757616,21942171678,41661654118
2802,XRP,XRP,06/04/2021 23:59,1.11791594,0.82440791,0.91691841,1.09626562,36955175105,49774875598
2801,XRP,XRP,05/04/2021 23:59,0.93685533,0.63397378,0.64670265,0.92047305,26415199263,41793184885
2800,XRP,XRP,04/04/2021 23:59,0.64697732,0.58301267,0.59090917,0.64672914,4613898769,29364108461
2799,XRP,XRP,03/04/2021 23:59,0.65335013,0.587748,0.61677892,0.59091504,6757992981,26829923528
2798,XRP,XRP,02/04/2021 23:59,0.61738232,0.57520311,0.57935997,0.6165688,5404854336,27994707394
2797,XRP,XRP,01/04/2021 23:59,0.59581686,0.55900232,0.5739587,0.57929188,4725008531,26302184999
2796,XRP,XRP,31/03/2021 23:59,0.57922815,0.54474573,0.56683339,0.57386946,4849764990,26055985343
2795,XRP,XRP,30/03/2021 23:59,0.58590329,0.56308406,0.56773738,0.56685858,3831603058,25737663165
2794,XRP,XRP,29/03/2021 23:59,0.57071113,0.54818312,0.55064518,0.56787082,3549650231,25783622951
2793,XRP,XRP,28/03/2021 23:59,0.56220472,0.54547788,0.5503772,0.55075583,2795107715,25006533342
2792,XRP,XRP,27/03/2021 23:59,0.5759183,0.53982448,0.56719305,0.55044347,3684247475,24992351034
2791,XRP,XRP,26/03/2021 23:59,0.57497524,0.51651503,0.51738933,0.56705516,5807865028,25746588636
2790,XRP,XRP,25/03/2021 23:59,0.5273677,0.47112817,0.48823362,0.51749833,6061921454,23496509077
2789,XRP,XRP,24/03/2021 23:59,0.56467728,0.46928451,0.5562654,0.48883678,5446433135,22195159228
2788,XRP,XRP,23/03/2021 23:59,0.5993134,0.54396987,0.55013452,0.55659505,7610195005,25271657446
2787,XRP,XRP,22/03/2021 23:59,0.60261755,0.505471,0.51981021,0.54994159,9732075816,24969563563
2786,XRP,XRP,21/03/2021 23:59,0.54637661,0.49992842,0.52741578,0.51983541,5539749484,23602621699
2785,XRP,XRP,20/03/2021 23:59,0.55292916,0.47016115,0.47110529,0.52699085,6757879312,23927507591
